Bergamasco,Italiano,Bergamasco_pulito,Italiano_pulito
se te me respóndet « la mòrte »,se mi risponderai « la morte »,<sos> se te me respóndet la mòrte <eos>,<sos> se mi risponderai la morte <eos>
pò l'è 'ndàt a hercà amò la hò ègia barca,ha cercato ancora la sua vecchia barca,<sos> pò l'è 'ndàt a hercà amò la hò ègia barca <eos>,<sos> ha cercato ancora la sua vecchia barca <eos>
de tüt ol pais,di tutto il paese,<sos> de tüt ol pais <eos>,<sos> di tutto il paese <eos>
é óter,e altro,<sos> é óter <eos>,<sos> e altro <eos>
ma àrdå de ciapà pü tànt che te pö perchè,ma cerca di guadagnare più che puoi perché,<sos> ma àrdå de ciapà pü tànt che te pö perchè <eos>,<sos> ma cerca di guadagnare più che puoi perché <eos>
— éh ma té,il matto dice:,<sos> éh ma té <eos>,<sos> il matto dice <eos>
l'érå tüt cuntét,era tutto contento,<sos> l'érå tüt cuntét <eos>,<sos> era tutto contento <eos>
la gh'è pasàdå,ha battuto,<sos> la gh'è pasàdå <eos>,<sos> ha battuto <eos>
tré sedèi,tre secchi,<sos> tré sedèi <eos>,<sos> tre secchi <eos>
i vülìa mìa ch'i 'nèh a-ànte,non volevano che andassero avanti,<sos> i vülìa mìa ch'i 'nèh a-ànte <eos>,<sos> non volevano che andassero avanti <eos>
e lü l' gh'éå üna galìnå,aveva una gallina,<sos> e lü l' gh'éå üna galìnå <eos>,<sos> aveva una gallina <eos>
a dìgå,a dirgli,<sos> a dìgå <eos>,<sos> a dirgli <eos>
égne a' con vóter,vengo con voi,<sos> égne a' con vóter <eos>,<sos> vengo con voi <eos>
perchè la prima nòtte di matrimonio,perché la prima notte di matrimonio,<sos> perchè la prima nòtte di matrimonio <eos>,<sos> perché la prima notte di matrimonio <eos>
"hénså didàl, i gh'éå tüc i dìc che 'ndà-å e hànch","senza ditale, avevano tutte le dita che andavano a sangue","<sos> hénså didàl , i gh'éå tüc i dìc che 'ndà-å e hànch <eos>","<sos> senza ditale , avevano tutte le dita che andavano a sangue <eos>"
e l'óter,e l'altro,<sos> e l'óter <eos>,<sos> e l'altro <eos>
pòtå difati lé la rìå lé,infatti arriva là,<sos> pòtå difati lé la rìå lé <eos>,<sos> infatti arriva là <eos>
la dìh,dice,<sos> la dìh <eos>,<sos> dice <eos>
— scà-å ché! —,— scava qui! —,<sos> scà-å ché ! <eos>,<sos> scava qui ! <eos>
perchè mé pöde mìa mü-ìmsa,perché io non posso muovermi,<sos> perchè mé pöde mìa mü-ìmsa <eos>,<sos> perché io non posso muovermi <eos>
— và fò a töga ho la sciàbola al papà —,— vai a raccogliere la sciabola al papà —,<sos> và fò a töga ho la sciàbola al papà <eos>,<sos> vai a raccogliere la sciabola al papà <eos>
e 'l ghe manca i materàs,ma gli mancano i materassi,<sos> e 'l ghe manca i materàs <eos>,<sos> ma gli mancano i materassi <eos>
al gh'à dìt:,ha detto:,<sos> al gh'à dìt <eos>,<sos> ha detto <eos>
perchè lé la mangià-å piö con lùr,perché non mangiava più con loro,<sos> perchè lé la mangià-å piö con lùr <eos>,<sos> perché non mangiava più con loro <eos>
— té dài!,— dai!,<sos> té dài ! <eos>,<sos> dai ! <eos>
« arói pò de fà cumè mé?,« come devo fare?,<sos> arói pò de fà cumè mé ? <eos>,<sos> come devo fare ? <eos>
té ta hé bùnå de 'ndà e tö la clòhå cói pu-ì d'ór —,sei capace di andare a prendere la chioccia coi pulcini d'oro —,<sos> té ta hé bùnå de 'ndà e tö la clòhå cói pu-ì d'ór <eos>,<sos> sei capace di andare a prendere la chioccia coi pulcini d'oro <eos>
lé a 'sta fontana,alla fontana,<sos> lé a 'sta fontana <eos>,<sos> alla fontana <eos>
'n mèh ela céśå,dal centro della chiesa,<sos> 'n mèh ela céśå <eos>,<sos> dal centro della chiesa <eos>
ö dé 'l ga dìs isé ala hò Rośalba:,un giorno dice a Rosalba:,<sos> ö dé 'l ga dìs isé ala hò rośalba <eos>,<sos> un giorno dice a rosalba <eos>
tèrsa matina,la terza mattina,<sos> tèrsa matina <eos>,<sos> la terza mattina <eos>
chèl che ta ghe n'é òia,prendi quello che vuoi,<sos> chèl che ta ghe n'é òia <eos>,<sos> prendi quello che vuoi <eos>
e 'm piö,e per di più,<sos> e 'm piö <eos>,<sos> e per di più <eos>
sto a caśa mé —,resto a casa io —,<sos> sto a caśa mé <eos>,<sos> resto a casa io <eos>
— ma...,— ma...,<sos> ma . . . <eos>,<sos> ma . . . <eos>
però biśògna che gh'ésef,però dovete avere,<sos> però biśògna che gh'ésef <eos>,<sos> però dovete avere <eos>
"ü cavagliére, 'l so mìå mé — la dìs —","un cavaliere, non so","<sos> ü cavagliére , 'l so mìå mé la dìs <eos>","<sos> un cavaliere , non so <eos>"
pianśì,a piangere,<sos> pianśì <eos>,<sos> a piangere <eos>
"se 'l ma dèh l'alògio , sarès piö mèi",se ci desse alloggio sarebbe meglio,"<sos> se 'l ma dèh l'alògio , sarès piö mèi <eos>",<sos> se ci desse alloggio sarebbe meglio <eos>
la fiölå dol rè,la figlia del re,<sos> la fiölå dol rè <eos>,<sos> la figlia del re <eos>
tutto il giorno,tutto il giorno,<sos> tutto il giorno <eos>,<sos> tutto il giorno <eos>
e la fà: — cóha hìf dré a fà?,e dice: — cosa sta facendo?,<sos> e la fà cóha hìf dré a fà ? <eos>,<sos> e dice cosa sta facendo ? <eos>
che la uléå tütå chèlå ròbå lé,che voleva tutta quella roba,<sos> che la uléå tütå chèlå ròbå lé <eos>,<sos> che voleva tutta quella roba <eos>
'm farà cupa i cà e...,ammazzeremo i cani e...,<sos> 'm farà cupa i cà e . . . <eos>,<sos> ammazzeremo i cani e . . . <eos>
— ah — l'à dìt —,— ah — ha detto —,<sos> ah l'à dìt <eos>,<sos> ah ha detto <eos>
che è miga gnamò bateśàc,è che non sono ancora battezzati,<sos> che è miga gnamò bateśàc <eos>,<sos> è che non sono ancora battezzati <eos>
l'à viaśgiàt,ha viaggiato,<sos> l'à viaśgiàt <eos>,<sos> ha viaggiato <eos>
e l'è restàt piö,e non è rimasta più,<sos> e l'è restàt piö <eos>,<sos> e non è rimasta più <eos>
'tå 'l gàl,il gallo,<sos> 'tå 'l gàl <eos>,<sos> il gallo <eos>
e alura la ga dìs:,e allora dice loro:,<sos> e alura la ga dìs <eos>,<sos> e allora dice loro <eos>
l'éa fàt i hò fregaröi,lei ha fatto i fregaròli,<sos> l'éa fàt i hò fregaröi <eos>,<sos> lei ha fatto i fregaròli <eos>
al paha fò,si avvia,<sos> al paha fò <eos>,<sos> si avvia <eos>
se sènta śgió,si siede,<sos> se sènta śgió <eos>,<sos> si siede <eos>
— ölel fàn chè de dù ca-ài?,— cosa vuol fare di due cavalli?,<sos> ölel fàn chè de dù ca-ài ? <eos>,<sos> cosa vuol fare di due cavalli ? <eos>
e 'l gh'éra la sciàbola cahada śó,aveva la sciabola attaccata,<sos> e 'l gh'éra la sciàbola cahada śó <eos>,<sos> aveva la sciabola attaccata <eos>
ü papà e üna màmå e i gh'éå tance fiöi,un papà e una mamma che avevano tanti figli,<sos> ü papà e üna màmå e i gh'éå tance fiöi <eos>,<sos> un papà e una mamma che avevano tanti figli <eos>
'l s'è dehedàt fò,s'è svegliato,<sos> 'l s'è dehedàt fò <eos>,<sos> s'è svegliato <eos>
vé a rìa del màr che òi parlàt —,vieni a riva del mare che voglio parlarti —,<sos> vé a rìa del màr che òi parlàt <eos>,<sos> vieni a riva del mare che voglio parlarti <eos>
— nò,— no,<sos> nò <eos>,<sos> no <eos>
per 'nà a robà,per una rapina,<sos> per 'nà a robà <eos>,<sos> per una rapina <eos>
però l'è piö 'ndàdà on chèl pòst ogliò,però lei non è più andata in quel posto,<sos> però l'è piö 'ndàdà on chèl pòst ogliò <eos>,<sos> però lei non è più andata in quel posto <eos>
ol rè 'l fà:,e il re aggiunge:,<sos> ol rè 'l fà <eos>,<sos> e il re aggiunge <eos>
— e 'ssé Piéro,— allora Pietro,<sos> e 'ssé piéro <eos>,<sos> allora pietro <eos>
madóna che ùh! tüc i curìa:,madonna quanto gridava! tutti correvano,<sos> madóna che ùh ! tüc i curìa <eos>,<sos> madonna quanto gridava ! tutti correvano <eos>
ma là chèl là l'è 'n bolpatù amò piö èi de mé,ma che lui è un volpone ancora più vecchio di me,<sos> ma là chèl là l'è 'n bolpatù amò piö èi de mé <eos>,<sos> ma che lui è un volpone ancora più vecchio di me <eos>
picinì picinì,piccolo piccolo,<sos> picinì picinì <eos>,<sos> piccolo piccolo <eos>
intequàter regài al dé èra tance,ventiquattro regali al giorno erano tanti,<sos> intequàter regài al dé èra tance <eos>,<sos> ventiquattro regali al giorno erano tanti <eos>
ma l'è pròpe èc,ma era davvero vecchio,<sos> ma l'è pròpe èc <eos>,<sos> ma era davvero vecchio <eos>
fà 'n sö,fai cosò,<sos> fà 'n sö <eos>,<sos> fai cosò <eos>
che alméno quàndo che pahe töc i ma bàt le mà? »,che almeno quando passo tutti mi battono le mani? »,<sos> che alméno quàndo che pahe töc i ma bàt le mà ? <eos>,<sos> che almeno quando passo tutti mi battono le mani ? <eos>
e he i te l' fà mìa i òmegn i te ciàpå i cà e,"e se non ti ammazzano gli uomini, ti prendono i cani",<sos> e he i te l' fà mìa i òmegn i te ciàpå i cà e <eos>,"<sos> e se non ti ammazzano gli uomini , ti prendono i cani <eos>"
— Paulì,— Paolino,<sos> paulì <eos>,<sos> paolino <eos>
g'è ri-àc,sono arrivati,<sos> g'è ri-àc <eos>,<sos> sono arrivati <eos>
e difati 'ssè l'à fàt,e così ha fatto,<sos> e difati 'ssè l'à fàt <eos>,<sos> e così ha fatto <eos>
ål màncå 'l canarì-che-pàrlå,manca il canarino-che-parla,<sos> ål màncå 'l canarì-che-pàrlå <eos>,<sos> manca il canarino-che-parla <eos>
i à 'ste bòte che ga ucurìa,hanno visto le botti che servivano,<sos> i à 'ste bòte che ga ucurìa <eos>,<sos> hanno visto le botti che servivano <eos>
mìa de piö!,non di più,<sos> mìa de piö ! <eos>,<sos> non di più <eos>
e lü,e lui,<sos> e lü <eos>,<sos> e lui <eos>
brüt,brutto,<sos> brüt <eos>,<sos> brutto <eos>
una màmå,una mamma,<sos> una màmå <eos>,<sos> una mamma <eos>
altretanto,altrettanto,<sos> altretanto <eos>,<sos> altrettanto <eos>
e lé l'è 'ndacia gìó amó 'sta serva,la serva è andata,<sos> e lé l'è 'ndacia gìó amó 'sta serva <eos>,<sos> la serva è andata <eos>
hircherà de portàl a cà,cercherò di portarli a casa,<sos> hircherà de portàl a cà <eos>,<sos> cercherò di portarli a casa <eos>
fà lé,fai così,<sos> fà lé <eos>,<sos> fai così <eos>
"e gliùra 'l gh'è 'gnìt en mènt, l'è 'ndàt sö 'n héma",così ha pensato di andare in cima,"<sos> e gliùra 'l gh'è 'gnìt en mènt , l'è 'ndàt sö 'n héma <eos>",<sos> così ha pensato di andare in cima <eos>
Rùscå 'nvéce,Rusca invece,<sos> rùscå 'nvéce <eos>,<sos> rusca invece <eos>
— ma di chi sarà quèsto palasso cośì bèllo e lussuóśo?,— di chi sarà questo palazzo così bello e lussuoso?,<sos> ma di chi sarà quèsto palasso cośì bèllo e lussuóśo ? <eos>,<sos> di chi sarà questo palazzo così bello e lussuoso ? <eos>
ü piàt de rìs,un piatto di riso,<sos> ü piàt de rìs <eos>,<sos> un piatto di riso <eos>
ma scùltei mìå,non ascoltarli,<sos> ma scùltei mìå <eos>,<sos> non ascoltarli <eos>
töt öna fiàma!,sale tutta una fiammata!,<sos> töt öna fiàma ! <eos>,<sos> sale tutta una fiammata ! <eos>
ol htrepàh,dello strapazzo,<sos> ol htrepàh <eos>,<sos> dello strapazzo <eos>
in giü 'l va dét ol rè,in un altro il re,<sos> in giü 'l va dét ol rè <eos>,<sos> in un altro il re <eos>
— fói pò de chè mé de chi laùr lé?,— cosa ne faccio di queste cose?,<sos> fói pò de chè mé de chi laùr lé ? <eos>,<sos> cosa ne faccio di queste cose ? <eos>
h'è metida dré a mangià e bìf,s'è messa a mangiare e a bere,<sos> h'è metida dré a mangià e bìf <eos>,<sos> s'è messa a mangiare e a bere <eos>
quàndo 'l rìa là 'n de piàna 'l ha regórda piö che ca-àl che 'l gh'à de tö hö,quando arriva nella pianura non si ricorda più quale cavallo deve prendere,<sos> quàndo 'l rìa là 'n de piàna 'l ha regórda piö che ca-àl che 'l gh'à de tö hö <eos>,<sos> quando arriva nella pianura non si ricorda più quale cavallo deve prendere <eos>
a faga 'l gìr ala cà,a fare il giro della casa,<sos> a faga 'l gìr ala cà <eos>,<sos> a fare il giro della casa <eos>
fina che 'l mulinér,finché il mugnaio,<sos> fina che 'l mulinér <eos>,<sos> finché il mugnaio <eos>
ol scarpulì 'l ga dìs:,e il ciabattino gli ha detto: ,<sos> ol scarpulì 'l ga dìs <eos>,<sos> e il ciabattino gli ha detto <eos>
'n punì de pàiå,un po' di paglia in terra,<sos> 'n punì de pàiå <eos>,<sos> un po' di paglia in terra <eos>
e lùr i gh'à dìt:,loro hanno risposto:,<sos> e lùr i gh'à dìt <eos>,<sos> loro hanno risposto <eos>
per eddì chi ca ìa,per scoprire chi fosse,<sos> per eddì chi ca ìa <eos>,<sos> per scoprire chi fosse <eos>
al gh'à tràt źó la berèta,gli ha fatto cadere la berretta,<sos> al gh'à tràt źó la berèta <eos>,<sos> gli ha fatto cadere la berretta <eos>
e chèl dóli scarpe de fèr,e quello delle scarpe di ferro,<sos> e chèl dóli scarpe de fèr <eos>,<sos> e quello delle scarpe di ferro <eos>
tanto bèlli che sèmbrano angiolètti »,tanto belli che sembrano angioletti »,<sos> tanto bèlli che sèmbrano angiolètti <eos>,<sos> tanto belli che sembrano angioletti <eos>
e tàc a pasà,e tanti passare,<sos> e tàc a pasà <eos>,<sos> e tanti passare <eos>
— và hö té — 'l dìh —,— vai tu,<sos> và hö té 'l dìh <eos>,<sos> vai tu <eos>
m'è a' famàc,io sono affamato,<sos> m'è a' famàc <eos>,<sos> io sono affamato <eos>
Gh'érå üna óltå üna màmå,C'era una volta una mamma,<sos> gh'érå üna óltå üna màmå <eos>,<sos> c'era una volta una mamma <eos>
i è turnàc endré ö méter,son tornati indietro un metro,<sos> i è turnàc endré ö méter <eos>,<sos> son tornati indietro un metro <eos>
quàndo te gh'é de biśògn de mé,quando hai bisogno di me,<sos> quàndo te gh'é de biśògn de mé <eos>,<sos> quando hai bisogno di me <eos>
on d'ün'ótrå bàndå,da un'altra parte,<sos> on d'ün'ótrå bàndå <eos>,<sos> da un'altra parte <eos>
che mé l'é-e rubàdå,che avessi rubato,<sos> che mé l'é-e rubàdå <eos>,<sos> che avessi rubato <eos>
ol drago 'l se avànså,il drago avanzava,<sos> ol drago 'l se avànså <eos>,<sos> il drago avanzava <eos>
e jü l'érå 'spért,e l'altro era sveglio,<sos> e jü l'érå 'spért <eos>,<sos> e l'altro era sveglio <eos>
incredibile,incredibile,<sos> incredibile <eos>,<sos> incredibile <eos>
— pòta — 'l dìh —,— pota — dice —,<sos> pòta 'l dìh <eos>,<sos> pota dice <eos>
fina che mé só mórt,finché sarò morto,<sos> fina che mé só mórt <eos>,<sos> finché sarò morto <eos>
la sérå la rìå,alla sera arriva,<sos> la sérå la rìå <eos>,<sos> alla sera arriva <eos>
e là,e là,<sos> e là <eos>,<sos> e là <eos>
e l'à mandàt a ciamà,ha fatto chiamare,<sos> e l'à mandàt a ciamà <eos>,<sos> ha fatto chiamare <eos>
em 'narà a sercà l'alògio de ön'ótra banda —,cercheremo da un'altra parte —,<sos> em 'narà a sercà l'alògio de ön'ótra banda <eos>,<sos> cercheremo da un'altra parte <eos>
e lü 'l rè 'l gh'à dit: — sé,dal re che le ha detto: — sì,<sos> e lü 'l rè 'l gh'à dit sé <eos>,<sos> dal re che le ha detto sì <eos>
e la gh'à dàt sà ü,e gli ha portato,<sos> e la gh'à dàt sà ü <eos>,<sos> e gli ha portato <eos>
i è 'ndàc a-ànti ö töchèl,sono andati per un po',<sos> i è 'ndàc a-ànti ö töchèl <eos>,<sos> sono andati per un po' <eos>
pò ga 'é hòn,gli è venuto sonno,<sos> pò ga 'é hòn <eos>,<sos> gli è venuto sonno <eos>
— pòta hó 'ndàt el Dès,— mi sono fermato al Dezzo,<sos> pòta hó 'ndàt el dès <eos>,<sos> mi sono fermato al dezzo <eos>
mé — 'l dìh — l'ó piö èst —,io non l'ho più visto —,<sos> mé 'l dìh l'ó piö èst <eos>,<sos> io non l'ho più visto <eos>
e 'l vèt che gliò 'n mèh ela céśå 'l s'è alsàt sö ünå córnå,e vede che in mezzo alla chiesa si è sollevata una pietra,<sos> e 'l vèt che gliò 'n mèh ela céśå 'l s'è alsàt sö ünå córnå <eos>,<sos> e vede che in mezzo alla chiesa si è sollevata una pietra <eos>
ga dó tate de chèle htangade! »,gli dò tante di quelle legnate! »,<sos> ga dó tate de chèle htangade ! <eos>,<sos> gli dò tante di quelle legnate ! <eos>
e 'm gh'à che i ca-ài pròpe stöf e i völ miga fà hö la rata! —,e abbiamo i cavalli davvero stanchi non vogliono fare la salita! —,<sos> e 'm gh'à che i ca-ài pròpe stöf e i völ miga fà hö la rata ! <eos>,<sos> e abbiamo i cavalli davvero stanchi non vogliono fare la salita ! <eos>
a tene Rośalba,a badare a Rosalba,<sos> a tene rośalba <eos>,<sos> a badare a rosalba <eos>
la rónden la gh'i becà-a śó,la rondine li beccava,<sos> la rónden la gh'i becà-a śó <eos>,<sos> la rondine li beccava <eos>
e gliùrå,allora,<sos> e gliùrå <eos>,<sos> allora <eos>
tra lùr i ha consultà-a,si consultavano tra di loro,<sos> tra lùr i ha consultà-a <eos>,<sos> si consultavano tra di loro <eos>
i à ardàt,e hanno guardato,<sos> i à ardàt <eos>,<sos> e hanno guardato <eos>
lù è 'ndàc là,e lui è andato là,<sos> lù è 'ndàc là <eos>,<sos> e lui è andato là <eos>
e alura lü l'è 'nàt de déter,allora il ciabattino,<sos> e alura lü l'è 'nàt de déter <eos>,<sos> allora il ciabattino <eos>
a ü méter de distànså dèla principèsa e 'l drago,a un metro di distanza dalla principessa,<sos> a ü méter de distànså dèla principèsa e 'l drago <eos>,<sos> a un metro di distanza dalla principessa <eos>
'l pàhå fò 'n dol albèrgo,passa da un albergo,<sos> 'l pàhå fò 'n dol albèrgo <eos>,<sos> passa da un albergo <eos>
lü serpént,lui serpente,<sos> lü serpént <eos>,<sos> lui serpente <eos>
ö fiahchetì de 'ì,un fiaschette di vino,<sos> ö fiahchetì de 'ì <eos>,<sos> un fiaschette di vino <eos>
e pié de piàghe,e di piaghe,<sos> e pié de piàghe <eos>,<sos> e di piaghe <eos>
'l fà-å cünt de ì fàt bèl,pensando di aver fatto un affare,<sos> 'l fà-å cünt de ì fàt bèl <eos>,<sos> pensando di aver fatto un affare <eos>
— varde,— guardi,<sos> varde <eos>,<sos> guardi <eos>
'm punì de pà,un po' di pane,<sos> 'm punì de pà <eos>,<sos> un po' di pane <eos>
— töm dré a' mé,— portami con te,<sos> töm dré a' mé <eos>,<sos> portami con te <eos>
che lü,che lui,<sos> che lü <eos>,<sos> che lui <eos>
l'à cuminciàt,ha cominciato,<sos> l'à cuminciàt <eos>,<sos> ha cominciato <eos>
ål fà: — må che bèi faśöi,gli dice: — ma che bei fagioli! —,<sos> ål fà må che bèi faśöi <eos>,<sos> gli dice ma che bei fagioli ! <eos>
e póie e pulì,galline 'e tacchini!,<sos> e póie e pulì <eos>,<sos> galline 'e tacchini ! <eos>
'l vècio piö tànt,il vecchio di più,<sos> 'l vècio piö tànt <eos>,<sos> il vecchio di più <eos>
credèndo de partì,credendo di dover partire,<sos> credèndo de partì <eos>,<sos> credendo di dover partire <eos>
'l s'è rendìt cünt,si è reso conto,<sos> 'l s'è rendìt cünt <eos>,<sos> si è reso conto <eos>
al gh'è sö ünå bèlå palassìnå,c'è una bella palazzina,<sos> al gh'è sö ünå bèlå palassìnå <eos>,<sos> c'è una bella palazzina <eos>
e lé 'l tö hö ö brahöl de ròba,prende un po' di questa roba,<sos> e lé 'l tö hö ö brahöl de ròba <eos>,<sos> prende un po' di questa roba <eos>
— mé hó 'l rè,— io sono il re,<sos> mé hó 'l rè <eos>,<sos> io sono il re <eos>
pòtå ma dòpo l'érå mórt ol tùs,ma c'era il figlio morto,<sos> pòtå ma dòpo l'érå mórt ol tùs <eos>,<sos> ma c'era il figlio morto <eos>
— öe,— voglio,<sos> öe <eos>,<sos> voglio <eos>
lùr i ga dìs:,i ladri dicono:,<sos> lùr i ga dìs <eos>,<sos> i ladri dicono <eos>
e anche 'l tuśilì,e quello,<sos> e anche 'l tuśilì <eos>,<sos> e quello <eos>
anche per ehta ólta,anche per questa volta,<sos> anche per ehta ólta <eos>,<sos> anche per questa volta <eos>
— và bé — 'l dìh — mé te farò sciòr,"— va bene, io ti farò ricco",<sos> và bé 'l dìh mé te farò sciòr <eos>,"<sos> va bene , io ti farò ricco <eos>"
e pò lü l'è 'ndàt,e poi se n'e andato,<sos> e pò lü l'è 'ndàt <eos>,<sos> e poi se n'e andato <eos>
che 'l völ ospuśàs,che vuole sposarsi,<sos> che 'l völ ospuśàs <eos>,<sos> che vuole sposarsi <eos>
la èch ca i vé d'fò,le vede uscire,<sos> la èch ca i vé d'fò <eos>,<sos> le vede uscire <eos>
ü papà e üna màmå,un papà e una mamma,<sos> ü papà e üna màmå <eos>,<sos> un papà e una mamma <eos>
hégn che l'érå màt,era matto,<sos> hégn che l'érå màt <eos>,<sos> era matto <eos>
ål gì à dìt essè: — pòtå,quello sveglio:,<sos> ål gì à dìt essè pòtå <eos>,<sos> quello sveglio <eos>
lé la 'nguśgià-å,la sorella sferruzzava,<sos> lé la 'nguśgià-å <eos>,<sos> la sorella sferruzzava <eos>
la cuminciå:,e comincia:,<sos> la cuminciå <eos>,<sos> e comincia <eos>
öna sciuruna gràndå,una grande signora,<sos> öna sciuruna gràndå <eos>,<sos> una grande signora <eos>
e gliùra l'óter,allora,<sos> e gliùra l'óter <eos>,<sos> allora <eos>
a gara,a gara,<sos> a gara <eos>,<sos> a gara <eos>
— adès te me pórtet ché,— adesso portami,<sos> adès te me pórtet ché <eos>,<sos> adesso portami <eos>
e lé la gh'à dìt:,e lei ha detto:,<sos> e lé la gh'à dìt <eos>,<sos> e lei ha detto <eos>
l'alògio ghe l' dó miga perché,non vi dò alloggio perché,<sos> l'alògio ghe l' dó miga perché <eos>,<sos> non vi dò alloggio perché <eos>
« che hét che gh'ó!,«che sete!,<sos> che hét che gh'ó ! <eos>,<sos> che sete ! <eos>
e l'è di-entàdå öna gràn' rìccå signórå,così è diventata una gran ricca signora immaginatevi!,<sos> e l'è di-entàdå öna gràn' rìccå signórå <eos>,<sos> così è diventata una gran ricca signora immaginatevi ! <eos>
bötàt śó,strisciando,<sos> bötàt śó <eos>,<sos> strisciando <eos>
turna 'ndré,torna indietro,<sos> turna 'ndré <eos>,<sos> torna indietro <eos>
e 'l ga domanda h'i gh'à l'alògio per chèla nòt lé e de mangià,domanda se hanno da mangiare e alloggio per quella notte,<sos> e 'l ga domanda h'i gh'à l'alògio per chèla nòt lé e de mangià <eos>,<sos> domanda se hanno da mangiare e alloggio per quella notte <eos>
màndegge 'n sö amò quàch,mandagliene ancora un po',<sos> màndegge 'n sö amò quàch <eos>,<sos> mandagliene ancora un po' <eos>
en mèh el curidùr,in mezzo alla navata,<sos> en mèh el curidùr <eos>,<sos> in mezzo alla navata <eos>
— nóter åm ve n' dà piö de mangià,— noi non vi diamo più da mangiare,<sos> nóter åm ve n' dà piö de mangià <eos>,<sos> noi non vi diamo più da mangiare <eos>
e la śét i diśìa:,e la gente diceva:,<sos> e la śét i diśìa <eos>,<sos> e la gente diceva <eos>
ma tanto lü,ma ormai lui,<sos> ma tanto lü <eos>,<sos> ma ormai lui <eos>
— però,— però,<sos> però <eos>,<sos> però <eos>
i gi à brüśài töi quaranta,li hanno bruciati tutti e quaranta,<sos> i gi à brüśài töi quaranta <eos>,<sos> li hanno bruciati tutti e quaranta <eos>
le mà i éra 'gnide ö falì piö delicade èh,e le mani si erano fatte un po' delicate,<sos> le mà i éra 'gnide ö falì piö delicade èh <eos>,<sos> e le mani si erano fatte un po' delicate <eos>
nel ri-à de là ta gh'é de uśà tré ólte,"arrivando di là, dovrai gridare tre volte",<sos> nel ri-à de là ta gh'é de uśà tré ólte <eos>,"<sos> arrivando di là , dovrai gridare tre volte <eos>"
henonchè,senonché,<sos> henonchè <eos>,<sos> senonché <eos>
ma gh'érå amò ünå capànnå de müscol,e c'era ancora una capanna di muschio,<sos> ma gh'érå amò ünå capànnå de müscol <eos>,<sos> e c'era ancora una capanna di muschio <eos>
spetàt rispòsta e l'è 'nada,neppure aspettato la risposta,<sos> spetàt rispòsta e l'è 'nada <eos>,<sos> neppure aspettato la risposta <eos>
mè che möre:,devo morire,<sos> mè che möre <eos>,<sos> devo morire <eos>
— bröt àśen che ta hé,— brutto asino che sei,<sos> bröt àśen che ta hé <eos>,<sos> brutto asino che sei <eos>
'n quàch cà,o in qualche casa,<sos> 'n quàch cà <eos>,<sos> o in qualche casa <eos>
e i gh'à dìt:,ma loro han detto:,<sos> e i gh'à dìt <eos>,<sos> ma loro han detto <eos>
la śgira la cà,e dall'altra,<sos> la śgira la cà <eos>,<sos> e dall'altra <eos>
nò' 'm ghe l' dìs mìå —,noi non lo diremo —,<sos> nò' 'm ghe l' dìs mìå <eos>,<sos> noi non lo diremo <eos>
ün óter sedèl,un altro,<sos> ün óter sedèl <eos>,<sos> un altro <eos>
la hò fómna la fà öna fèsta!,la sua donna gli fa una festa!,<sos> la hò fómna la fà öna fèsta ! <eos>,<sos> la sua donna gli fa una festa ! <eos>
— và bé' — 'l dìs — bàstå 'ssè,"— va bene, basta così",<sos> và bé' 'l dìs bàstå 'ssè <eos>,"<sos> va bene , basta così <eos>"
col có pelàt,con la testa pelata,<sos> col có pelàt <eos>,<sos> con la testa pelata <eos>
e 'l turna 'ndré de ónda,e torna indietro di corsa,<sos> e 'l turna 'ndré de ónda <eos>,<sos> e torna indietro di corsa <eos>
ogliùrå i n'à töt sö giü per ü lùr,così loro ne han tirato su uno ciascuno,<sos> ogliùrå i n'à töt sö giü per ü lùr <eos>,<sos> così loro ne han tirato su uno ciascuno <eos>
cóla bàrbå,con la barba,<sos> cóla bàrbå <eos>,<sos> con la barba <eos>
potà e lü 'l và là,pota lui va là,<sos> potà e lü 'l và là <eos>,<sos> pota lui va là <eos>
dét en da stansa cóla surèlå,nella stanza con la sorella,<sos> dét en da stansa cóla surèlå <eos>,<sos> nella stanza con la sorella <eos>
sé èh Divìn Maèstro! —,sì Divin Maestro!,<sos> sé èh divìn maèstro ! <eos>,<sos> sì divin maestro ! <eos>
ö póer òm,un poveruomo,<sos> ö póer òm <eos>,<sos> un poveruomo <eos>
prìmå i gh'à purtàt ol gabüh ela màmå,prima han portato il cavolo alla mamma,<sos> prìmå i gh'à purtàt ol gabüh ela màmå <eos>,<sos> prima han portato il cavolo alla mamma <eos>
mé hó ön òm de mólta,io sono un uomo di malta,<sos> mé hó ön òm de mólta <eos>,<sos> io sono un uomo di malta <eos>
quàndo,quando,<sos> quàndo <eos>,<sos> quando <eos>
e la fà: — agliùrå,e gli dice: — allora,<sos> e la fà agliùrå <eos>,<sos> e gli dice allora <eos>
alura,così,<sos> alura <eos>,<sos> così <eos>
la fà-a cünt de cupà 'l Rè-Serpènte,contava di ammazzare il Re-Serpente,<sos> la fà-a cünt de cupà 'l rè-serpènte <eos>,<sos> contava di ammazzare il re-serpente <eos>
à avuto dùe bambini,ha avuto due bambini,<sos> à avuto dùe bambini <eos>,<sos> ha avuto due bambini <eos>
— ciàpå chèl biànch,— prendi quello bianco,<sos> ciàpå chèl biànch <eos>,<sos> prendi quello bianco <eos>
